G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.9402882	0.8806525	0.1142332	0.9644352	0.0687255	0.0758301	0.0024000	0.7798488	0.3025295	0.4000107
0.9402885	0.8805897	0.0750039	0.9910740	0.0687255	0.0758301	0.0024001	0.7798487	0.3025294	0.3000340
0.9402885	0.8805764	0.0568632	0.9964892	0.0687255	0.0758301	0.0024001	0.7798487	0.3025294	0.2000388
0.9402885	0.8805737	0.0514965	0.9974991	0.0687255	0.0758301	0.0024001	0.7798487	0.3025294	0.1000437
0.9402880	0.8805725	0.0509779	0.9976058	0.0687255	0.0758301	0.0024000	0.7798488	0.3025296	0.0000024
0.9402921	0.9661303	0.6608046	0.2061520	0.0687255	0.0758301	0.0012047	0.7798487	0.3025283	1.0000000
0.9402890	0.9542197	0.5765074	0.2313947	0.0687255	0.0758301	0.0012004	0.7798487	0.3025293	0.9000132
0.9402882	0.9294629	0.4784223	0.2857059	0.0687255	0.0758301	0.0012000	0.7798488	0.3025295	0.8000036
0.9402880	0.8980737	0.3723801	0.4055511	0.0687255	0.0758301	0.0012000	0.7798488	0.3025296	0.7000020
0.9402880	0.8842469	0.2686346	0.6268604	0.0687255	0.0758301	0.0012000	0.7798488	0.3025296	0.6000026
0.9402882	0.8818330	0.1795097	0.8575081	0.0687255	0.0758301	0.0012000	0.7798488	0.3025295	0.5000089
0.9402882	0.8814591	0.1142332	0.9644352	0.0687255	0.0758301	0.0012000	0.7798488	0.3025295	0.4000107
0.9402885	0.8813962	0.0750039	0.9910740	0.0687255	0.0758301	0.0012001	0.7798487	0.3025294	0.3000340
0.9402885	0.8813830	0.0568632	0.9964892	0.0687255	0.0758301	0.0012001	0.7798487	0.3025294	0.2000388
0.9402885	0.8813802	0.0514965	0.9974991	0.0687255	0.0758301	0.0012001	0.7798487	0.3025294	0.1000437
0.9402880	0.8813790	0.0509779	0.9976058	0.0687255	0.0758301	0.0012000	0.7798488	0.3025296	0.0000024
0.9402901	0.9669032	0.6608046	0.2061520	0.0687255	0.0758301	0.0000015	0.7798487	0.3025289	1.0000000
0.9402890	0.9549670	0.5765074	0.2313947	0.0687255	0.0758301	0.0000004	0.7798487	0.3025293	0.9000132
0.9402882	0.9301997	0.4784223	0.2857059	0.0687255	0.0758301	0.0000000	0.7798488	0.3025295	0.8000036
0.9402880	0.8987981	0.3723801	0.4055511	0.0687255	0.0758301	0.0000000	0.7798488	0.3025296	0.7000020
0.9402880	0.8849658	0.2686346	0.6268604	0.0687255	0.0758301	0.0000000	0.7798488	0.3025296	0.6000026
0.9402882	0.8825509	0.1795097	0.8575081	0.0687255	0.0758301	0.0000000	0.7798488	0.3025295	0.5000089
0.9402882	0.8821769	0.1142332	0.9644352	0.0687255	0.0758301	0.0000000	0.7798488	0.3025295	0.4000107
0.9402885	0.8821142	0.0750039	0.9910740	0.0687255	0.0758301	0.0000001	0.7798487	0.3025294	0.3000340
0.9402885	0.8821009	0.0568632	0.9964892	0.0687255	0.0758301	0.0000001	0.7798487	0.3025294	0.2000388
0.9402885	0.8820982	0.0514965	0.9974991	0.0687255	0.0758301	0.0000001	0.7798487	0.3025294	0.1000437
0.9402880	0.8820967	0.0509779	0.9976058	0.0687255	0.0758301	0.0000000	0.7798488	0.3025296	0.0000024
